"Id","IsDeleted","ParentId","ParentSobjectType","CreatedById","CreatedDate","FieldName","DataType","OldvalString","NewvalString","OldvalFirstName","NewvalFirstName","OldvalLastName","NewvalLastName","OldvalNumber","NewvalNumber","OldvalDate","NewvalDate"
"017460000Az1s3aAQA","0","06946000002qPEdAAM","ContentDocument","005460000021MSBAA2","2018-10-13 17:16:45","createText","S","","","","","","","","","",""
"017460000Az1s3bAQA","0","068460000037p0yAAA","ContentVersion","005460000021MSBAA2","2018-10-13 17:16:45","createText","S","","","","","","","","","",""
